configuration	p=pieces	p/3	range
# 1, 1		8		     -	  -
# 2, 1		9-10		 -	  -
# 3, 1		10-12		 -	    7-12
3, 2		15-16		~5      10-15
# 4, 2		17-18		~6      11-17
5, 2		18-20		~6      13-18
7, 2        23-24       ~8      15-24
10, 3		32-34		~10 	20-30
15, 3       43-44       ~12     25-40
15, 4       47-48       ~16     35-45
20, 4       57-58       ~19     40-55
25, 5		~70		    ~23	    50-65
37, 5       95-96       ~31     63-90
50, 5		~120		~40 	80-105 (!)
65, 5       ~150        ~50     105-140
# 75, 5       ~170        ~56     115-160
85, 5       ~190        ~63     130-180
100, 10		~240		~80	    160-230
150, 10     ~340        ~113    230-330
200, 15		~460		~153	320-450
300, 15		~660		~220	450-650
400, 20 	~880		~293	600-870
500, 20		~1080		~360	750-1070
600, 20 	~1280		~426	850-1270
700, 20		~1480		~493	1000-1470
800, 20		~1680		~560	1125-1670
